item,state,date,price
spinach,malaysia,1/1/2019,4.32
spinach,malaysia,2/1/2019,4.3
spinach,malaysia,3/1/2019,4.21
spinach,malaysia,4/1/2019,4.4
spinach,malaysia,5/1/2019,4.45
spinach,malaysia,6/1/2019,4.66
spinach,malaysia,7/1/2019,4.54
spinach,malaysia,8/1/2019,4.18
spinach,malaysia,9/1/2019,4.23
spinach,malaysia,10/1/2019,4.49
spinach,malaysia,11/1/2019,4.82
spinach,malaysia,12/1/2019,4.83
spinach,malaysia,1/1/2020,4.6
spinach,malaysia,2/1/2020,4.46
spinach,malaysia,3/1/2020,4.31
spinach,malaysia,5/1/2020,4.51
spinach,malaysia,6/1/2020,4.56
spinach,malaysia,7/1/2020,4.5
spinach,malaysia,8/1/2020,4.55
spinach,malaysia,9/1/2020,4.44
spinach,malaysia,10/1/2020,4.62
spinach,malaysia,11/1/2020,4.58
spinach,malaysia,12/1/2020,5.09
spinach,malaysia,1/1/2021,5.19
spinach,malaysia,2/1/2021,4.86
spinach,malaysia,3/1/2021,4.56
spinach,malaysia,4/1/2021,4.84
spinach,malaysia,5/1/2021,4.65
spinach,malaysia,6/1/2021,4.74
spinach,malaysia,7/1/2021,4.66
spinach,malaysia,8/1/2021,4.54
spinach,malaysia,9/1/2021,4.93
spinach,malaysia,10/1/2021,4.8
spinach,malaysia,11/1/2021,5.01
spinach,malaysia,12/1/2021,5.56
ladies fingers,malaysia,1/1/2019,7.65
ladies fingers,malaysia,2/1/2019,7.72
ladies fingers,malaysia,3/1/2019,7.73
ladies fingers,malaysia,4/1/2019,7.3
ladies fingers,malaysia,5/1/2019,7.34
ladies fingers,malaysia,6/1/2019,7.3
ladies fingers,malaysia,7/1/2019,7.27
ladies fingers,malaysia,8/1/2019,7.22
ladies fingers,malaysia,9/1/2019,7.11
ladies fingers,malaysia,10/1/2019,7.04
ladies fingers,malaysia,11/1/2019,6.87
ladies fingers,malaysia,12/1/2019,7.27
ladies fingers,malaysia,1/1/2020,8.13
ladies fingers,malaysia,2/1/2020,8.58
ladies fingers,malaysia,3/1/2020,7.59
ladies fingers,malaysia,5/1/2020,7.62
ladies fingers,malaysia,6/1/2020,7.27
ladies fingers,malaysia,7/1/2020,7.1
ladies fingers,malaysia,8/1/2020,7.04
ladies fingers,malaysia,9/1/2020,7.07
ladies fingers,malaysia,10/1/2020,7.31
ladies fingers,malaysia,11/1/2020,7.03
ladies fingers,malaysia,12/1/2020,8.07
ladies fingers,malaysia,1/1/2021,8.5
ladies fingers,malaysia,2/1/2021,8.43
ladies fingers,malaysia,3/1/2021,8.2
ladies fingers,malaysia,4/1/2021,7.72
ladies fingers,malaysia,5/1/2021,7.34
ladies fingers,malaysia,6/1/2021,7.4
ladies fingers,malaysia,7/1/2021,7.55
ladies fingers,malaysia,8/1/2021,7.32
ladies fingers,malaysia,9/1/2021,7.33
ladies fingers,malaysia,10/1/2021,7.37
ladies fingers,malaysia,11/1/2021,7.89
ladies fingers,malaysia,12/1/2021,8.67
tomatoes,malaysia,1/1/2019,5.9
tomatoes,malaysia,2/1/2019,5.7
tomatoes,malaysia,3/1/2019,4.97
tomatoes,malaysia,4/1/2019,4.48
tomatoes,malaysia,5/1/2019,4.34
tomatoes,malaysia,6/1/2019,4.37
tomatoes,malaysia,7/1/2019,4.72
tomatoes,malaysia,8/1/2019,5.39
tomatoes,malaysia,9/1/2019,5.09
tomatoes,malaysia,10/1/2019,4.78
tomatoes,malaysia,11/1/2019,4.62
tomatoes,malaysia,12/1/2019,5.19
tomatoes,malaysia,1/1/2020,5.19
tomatoes,malaysia,2/1/2020,5.94
tomatoes,malaysia,3/1/2020,4.98
tomatoes,malaysia,5/1/2020,5.4
tomatoes,malaysia,6/1/2020,5.57
tomatoes,malaysia,7/1/2020,7.24
tomatoes,malaysia,8/1/2020,6.84
tomatoes,malaysia,9/1/2020,5.72
tomatoes,malaysia,10/1/2020,5.55
tomatoes,malaysia,11/1/2020,5.24
tomatoes,malaysia,12/1/2020,5.18
tomatoes,malaysia,1/1/2021,5.76
tomatoes,malaysia,2/1/2021,6.16
tomatoes,malaysia,3/1/2021,6.62
tomatoes,malaysia,4/1/2021,5.24
tomatoes,malaysia,5/1/2021,4.78
tomatoes,malaysia,6/1/2021,5.33
tomatoes,malaysia,7/1/2021,5.89
tomatoes,malaysia,8/1/2021,5.42
tomatoes,malaysia,9/1/2021,5.57
tomatoes,malaysia,10/1/2021,5.58
tomatoes,malaysia,11/1/2021,5.4
tomatoes,malaysia,12/1/2021,5.83
spinach,johor,1/1/2019,4.08
spinach,johor,2/1/2019,4.18
spinach,johor,3/1/2019,4.01
spinach,johor,4/1/2019,4.19
spinach,johor,5/1/2019,4.66
spinach,johor,6/1/2019,4.72
spinach,johor,7/1/2019,4.85
spinach,johor,8/1/2019,4.07
spinach,johor,9/1/2019,4.13
