item,state,date,price
spinach,malaysia,1/1/2022,5.72
spinach,malaysia,2/1/2022,5.27
spinach,malaysia,3/1/2022,5.63
spinach,malaysia,4/1/2022,5.3
spinach,malaysia,5/1/2022,5.66
spinach,malaysia,6/1/2022,5.61
spinach,malaysia,7/1/2022,5.59
spinach,malaysia,8/1/2022,5.66
spinach,malaysia,9/1/2022,5.52
ladies fingers,malaysia,1/1/2022,9.15
ladies fingers,malaysia,2/1/2022,9.31
ladies fingers,malaysia,3/1/2022,9.09
ladies fingers,malaysia,4/1/2022,9.22
ladies fingers,malaysia,5/1/2022,9.34
ladies fingers,malaysia,6/1/2022,9.31
ladies fingers,malaysia,7/1/2022,8.71
ladies fingers,malaysia,8/1/2022,8.73
ladies fingers,malaysia,9/1/2022,8.8
tomatoes,malaysia,1/1/2022,6.12
tomatoes,malaysia,2/1/2022,6.78
tomatoes,malaysia,3/1/2022,5.86
tomatoes,malaysia,4/1/2022,5.98
tomatoes,malaysia,5/1/2022,6.12
tomatoes,malaysia,6/1/2022,6.74
tomatoes,malaysia,7/1/2022,6.49
tomatoes,malaysia,8/1/2022,6.96
tomatoes,malaysia,9/1/2022,6.41
spinach,johor,1/1/2022,5.99
spinach,johor,2/1/2022,5.4
spinach,johor,3/1/2022,5.97
spinach,johor,4/1/2022,5.76
spinach,johor,5/1/2022,6.58
spinach,johor,6/1/2022,6.31
spinach,johor,7/1/2022,6.35
spinach,johor,8/1/2022,6.83
spinach,johor,9/1/2022,6.58
ladies fingers,johor,1/1/2022,10.18
ladies fingers,johor,2/1/2022,10.34
ladies fingers,johor,3/1/2022,9.09
ladies fingers,johor,4/1/2022,9.06
ladies fingers,johor,5/1/2022,9.41
ladies fingers,johor,6/1/2022,9.92
ladies fingers,johor,7/1/2022,9.84
ladies fingers,johor,8/1/2022,10.7
ladies fingers,johor,9/1/2022,10.53
tomatoes,johor,1/1/2022,5.42
tomatoes,johor,2/1/2022,6.09
tomatoes,johor,3/1/2022,5.05
tomatoes,johor,4/1/2022,5.2
tomatoes,johor,5/1/2022,5.39
tomatoes,johor,6/1/2022,6.23
tomatoes,johor,7/1/2022,5.98
tomatoes,johor,8/1/2022,6.64
tomatoes,johor,9/1/2022,5.98
apple fuji,malaysia,1/1/2022,1.82
apple fuji,malaysia,2/1/2022,1.82
apple fuji,malaysia,3/1/2022,1.83
apple fuji,malaysia,4/1/2022,1.82
apple fuji,malaysia,5/1/2022,1.85
apple fuji,malaysia,6/1/2022,1.92
